sr no. ,Distric,state,latitude,longitude,red zone,orange zone,green zone,,,,,
104,Khagaria,BIHAR,,,0,0,1,,,,,
105,Kishanganj,BIHAR,,,0,0,1,,,,,
106,Muzaffarpur,BIHAR,,,0,0,1,,,,,
107,Pashchim Champaran (West Champaran),BIHAR,,,0,0,1,,,,,
108,Saharsa,BIHAR,,,0,0,1,,,,,
109,Samastipur,BIHAR,,,0,0,1,,,,,
110,Sheohar,BIHAR,,,0,0,1,,,,,
111,Sitamarhi,BIHAR,,,0,0,1,,,,,
112,Supaul,BIHAR,,,0,0,1,,,,,
113,Chandigarh,CHANDIGARH,,,1,0,0,,,,,
114,Raipur,CHHATTISGARH,,,1,0,0,,,,,
115,Korba,CHHATTISGARH,,,0,1,0,,,,,
116,Surajpur,CHHATTISGARH,,,0,0,1,,,,,
117,Bilaspur,CHHATTISGARH,,,0,0,1,,,,,
118,Durg,CHHATTISGARH,,,0,0,1,,,,,
119,Rajnandgaon,CHHATTISGARH,,,0,0,1,,,,,
120,Basta,CHHATTISGARH,,,0,0,1,,,,,
121,Dantewada,CHHATTISGARH,,,0,0,1,,,,,
122,Dhamtari,CHHATTISGARH,,,0,0,1,,,,,
123,Janjgir-Champa,CHHATTISGARH,,,0,0,1,,,,,
124,Jashpur,CHHATTISGARH,,,0,0,1,,,,,
125,Kanker,CHHATTISGARH,,,0,0,1,,,,,
126,Kabirdham,CHHATTISGARH,,,0,0,1,,,,,
127,Korea (Koriya),CHHATTISGARH,,,0,0,1,,,,,
128,Mahasamund,CHHATTISGARH,,,0,0,1,,,,,
129,Raigarh,CHHATTISGARH,,,0,0,1,,,,,
130,Surguia,CHHATTISGARH,,,0,0,1,,,,,
131,Bijapur,CHHATTISGARH,,,0,0,1,,,,,
132,Nayaranpur,CHHATTISGARH,,,0,0,1,,,,,
133,Sukma,CHHATTISGARH,,,0,0,1,,,,,
134,Kondagaon,CHHATTISGARH,,,0,0,1,,,,,
135,Baloda Bazar,CHHATTISGARH,,,0,0,1,,,,,
136,Garivaband,CHHATTISGARH,,,0,0,1,,,,,
137,Balod,CHHATTISGARH,,,0,0,1,,,,,
138,Munseli,CHHATTISGARH,,,0,0,1,,,,,
139,Balrampur,CHHATTISGARH,,,0,0,1,,,,,
140,Bemetara,CHHATTISGARH,,,0,0,1,,,,,
141,Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,0,0,1,,,,,
142,Daman,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,0,0,1,,,,,
143,Diu,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,0,0,1,,,,,
144,South East Delhi,DELHI,,,1,0,0,,,,,
145,Central Delhi,DELHI,,,1,0,0,,,,,
146,North Delhi,DELHI,,,1,0,0,,,,,
147,South Delhi,DELHI,,,1,0,0,,,,,
148,North East Delhi,DELHI,,,1,0,0,,,,,
149,West Delhi,DELHI,,,1,0,0,,,,,
150,Shahdara,DELHI,,,1,0,0,,,,,
151,East Delhi,DELHI,,,1,0,0,,,,,
152,New Delhi,DELHI,,,1,0,0,,,,,
153,North West Delhi,DELHI,,,1,0,0,,,,,
154,South West Delhi,DELHI,,,1,0,0,,,,,
155,North Goa,GOA,,,0,0,1,,,,,
156,South Goa,GOA,,,0,0,1,,,,,
157,Ahmedabad,GUJARAT,,,1,0,0,,,,,
158,Surat,GUJARAT,,,1,0,0,,,,,
159,Vadodara,GUJARAT,,,1,0,0,,,,,
160,Anand,GUJARAT,,,1,0,0,,,,,
161,Banaskantha,GUJARAT,,,1,0,0,,,,,
162,Panchmahal,GUJARAT,,,1,0,0,,,,,
163,Bhavnagar,GUJARAT,,,1,0,0,,,,,
164,Gandhinagar,GUJARAT,,,1,0,0,,,,,
165,Aravalli,GUJARAT,,,1,0,0,,,,,
166,Rajkot,GUJARAT,,,0,1,0,,,,,
167,Bharuch,GUJARAT,,,0,1,0,,,,,
168,Botad,GUJARAT,,,0,1,0,,,,,
169,Narmada,GUJARAT,,,0,1,0,,,,,
170,Chhota Udaipur (Chhotaudepur),GUJARAT,,,0,1,0,,,,,
171,Mahisagar,GUJARAT,,,0,1,0,,,,,
172,Mehsana,GUJARAT,,,0,1,0,,,,,
173,Patan,GUJARAT,,,0,1,0,,,,,
174,Kheda,GUJARAT,,,0,1,0,,,,,
175,Valsad,GUJARAT,,,0,1,0,,,,,
176,Dohad,GUJARAT,,,0,1,0,,,,,
177,Kachchh (Kutch),GUJARAT,,,0,1,0,,,,,
178,Navsari,GUJARAT,,,0,1,0,,,,,
179,Gir Somnath,GUJARAT,,,0,1,0,,,,,
180,Dang,GUJARAT,,,0,1,0,,,,,
181,Sabarkantha,GUJARAT,,,0,1,0,,,,,
182,Tapi,GUJARAT,,,0,1,0,,,,,
183,Jamnagar,GUJARAT,,,0,1,0,,,,,
184,Surendranagar,GUJARAT,,,0,1,0,,,,,
185,Morbi,GUJARAT,,,0,0,1,,,,,
186,Amreli,GUJARAT,,,0,0,1,,,,,
187,Porbandar,GUJARAT,,,0,0,1,,,,,
188,Junagadh,GUJARAT,,,0,0,1,,,,,
189,Devbhumi Dwarka (Devbhoomi Dwarka),GUJARAT,,,0,0,1,,,,,
190,Sonipat,HARYANA,,,1,0,0,,,,,
191,Faridabad,HARYANA,,,1,0,0,,,,,
192,Gurugram (Gurgaon),HARYANA,,,0,1,0,,,,,
193,Nuh,HARYANA,,,0,1,0,,,,,
194,Panipat,HARYANA,,,0,1,0,,,,,
195,Panchkula,HARYANA,,,0,1,0,,,,,
196,Palwal,HARYANA,,,0,1,0,,,,,
197,Rohtak,HARYANA,,,0,1,0,,,,,
198,Hisar,HARYANA,,,0,1,0,,,,,
199,Ambala,HARYANA,,,0,1,0,,,,,
200,Jhajjar,HARYANA,,,0,1,0,,,,,
201,Bhiwani,HARYANA,,,0,1,0,,,,,
202,Kaithal,HARYANA,,,0,1,0,,,,,
203,Kurukshetra,HARYANA,,,0,1,0,,,,,
204,Karnal,HARYANA,,,0,1,0,,,,,
205,Jind,HARYANA,,,0,1,0,,,,,
206,Sirsa,HARYANA,,,0,1,0,,,,,
207,Yamunanagar,HARYANA,,,0,1,0,,,,,
208,Fatehabad,HARYANA,,,0,1,0,,,,,
209,Charkhi Dadri,HARYANA,,,0,1,0,,,,,
210,Mahendragarh,HARYANA,,,0,0,1,,,,,
211,Rewari,HARYANA,,,0,0,1,,,,,
212,Una,HIMACHAL PRADESH,,,0,1,0,,,,,
213,Chamba,HIMACHAL PRADESH,,,0,1,0,,,,,
214,Hamirpur,HIMACHAL PRADESH,,,0,1,0,,,,,
215,Kangra,HIMACHAL PRADESH,,,0,1,0,,,,,
216,Sirmaur,HIMACHAL PRADESH,,,0,1,0,,,,,
217,Solan,HIMACHAL PRADESH,,,0,1,0,,,,,
218,Bilaspur,HIMACHAL PRADESH,,,0,0,1,,,,,
219,Kinnaur,HIMACHAL PRADESH,,,0,0,1,,,,,
220,Kullu,HIMACHAL PRADESH,,,0,0,1,,,,,
221,Lahul and Spiti,HIMACHAL PRADESH,,,0,0,1,,,,,
222,Mandi,HIMACHAL PRADESH,,,0,0,1,,,,,
223,Shimla,HIMACHAL PRADESH,,,0,0,1,,,,,
224,Bandipora,JAMMU AND KASHMIR,,,1,0,0,,,,,
225,Shopian,JAMMU AND KASHMIR,,,1,0,0,,,,,
226,Anantnag,JAMMU AND KASHMIR,,,1,0,0,,,,,
227,Srinagar,JAMMU AND KASHMIR,,,1,0,0,,,,,
228,Baramulla,JAMMU AND KASHMIR,,,0,1,0,,,,,
229,Kupwara,JAMMU AND KASHMIR,,,0,1,0,,,,,
230,Ganderbal,JAMMU AND KASHMIR,,,0,1,0,,,,,
231,Jammu,JAMMU AND KASHMIR,,,0,1,0,,,,,
232,Udhampur,JAMMU AND KASHMIR,,,0,1,0,,,,,
233,Kulgam,JAMMU AND KASHMIR,,,0,1,0,,,,,
234,Budgam,JAMMU AND KASHMIR,,,0,1,0,,,,,
235,Samba,JAMMU AND KASHMIR,,,0,1,0,,,,,
236,Kathua,JAMMU AND KASHMIR,,,0,1,0,,,,,
237,Rajouri,JAMMU AND KASHMIR,,,0,1,0,,,,,
238,Ramban,JAMMU AND KASHMIR,,,0,1,0,,,,,
239,Reasi,JAMMU AND KASHMIR,,,0,1,0,,,,,
240,Pulwama,JAMMU AND KASHMIR,,,0,0,1,,,,,
241,Kishtwar,JAMMU AND KASHMIR,,,0,0,1,,,,,
242,Doda,JAMMU AND KASHMIR,,,0,0,1,,,,,
243,Poonch,JAMMU AND KASHMIR,,,0,0,1,,,,,
244,Ranchi,JHARKHAND,,,1,0,0,,,,,
245,Bokaro,JHARKHAND,,,0,1,0,,,,,
246,Garhwa,JHARKHAND,,,0,1,0,,,,,
247,Dhanbad,JHARKHAND,,,0,1,0,,,,,
248,Deoghar,JHARKHAND,,,0,1,0,,,,,
249,Hazaribagh,JHARKHAND,,,0,1,0,,,,,
250,Simdega,JHARKHAND,,,0,1,0,,,,,
251,Giridih,JHARKHAND,,,0,1,0,,,,,
252,Koderma,JHARKHAND,,,0,1,0,,,,,
253,Jamtara,JHARKHAND,,,0,1,0,,,,,
254,Chatra,JHARKHAND,,,0,0,1,,,,,
255,Dumka,JHARKHAND,,,0,0,1,,,,,
256,East Singhbum,JHARKHAND,,,0,0,1,,,,,
257,Godda,JHARKHAND,,,0,0,1,,,,,
258,Gumla,JHARKHAND,,,0,0,1,,,,,
259,Latehar,JHARKHAND,,,0,0,1,,,,,
260,Lohardaga,JHARKHAND,,,0,0,1,,,,,
261,Pakur,JHARKHAND,,,0,0,1,,,,,
262,Palamu,JHARKHAND,,,0,0,1,,,,,
263,Sahebganj,JHARKHAND,,,0,0,1,,,,,
264,Saraikela Kharsawan,JHARKHAND,,,0,0,1,,,,,
265,West Singhbhum,JHARKHAND,,,0,0,1,,,,,
266,Khunti,JHARKHAND,,,0,0,1,,,,,
267,Ramgarh,JHARKHAND,,,0,0,1,,,,,
268,Bengaluru Urban (Bangalore City),KARNATAKA,,,1,0,0,,,,,
269,Mysuru (Mysore),KARNATAKA,,,1,0,0,,,,,
270,Bengaluru Rural,KARNATAKA,,,1,0,0,,,,,
271,Belagavi (Belgaum),KARNATAKA,,,0,1,0,,,,,
272,Vijayapura,KARNATAKA,,,0,1,0,,,,,
273,Kalaburagi (Gulbarga),KARNATAKA,,,0,1,0,,,,,
274,Bagalkote,KARNATAKA,,,0,1,0,,,,,
275,Mandya,KARNATAKA,,,0,1,0,,,,,
276,Ballari (Bellary),KARNATAKA,,,0,1,0,,,,,
277,Dharwad,KARNATAKA,,,0,1,0,,,,,
278,Dakshina Kannada (South Canara),KARNATAKA,,,0,1,0,,,,,
279,Bidar,KARNATAKA,,,0,1,0,,,,,
280,Chikkaballapura,KARNATAKA,,,0,1,0,,,,,
281,Gadag,KARNATAKA,,,0,1,0,,,,,
282,Uttara Kannada (North Canara),KARNATAKA,,,0,1,0,,,,,
283,Tumakuru,KARNATAKA,,,0,1,0,,,,,
284,Davangere,KARNATAKA,,,0,0,1,,,,,
285,Udupi,KARNATAKA,,,0,0,1,,,,,
286,Chamarajanagar,KARNATAKA,,,0,0,1,,,,,
287,Chikkamagaluru (Chikmagalur),KARNATAKA,,,0,0,1,,,,,
288,Chitradurga,KARNATAKA,,,0,0,1,,,,,
289,Hassan,KARNATAKA,,,0,0,1,,,,,
290,Haveri,KARNATAKA,,,0,0,1,,,,,
291,Kodagu,KARNATAKA,,,0,0,1,,,,,
292,Kolar,KARNATAKA,,,0,0,1,,,,,
293,Koppal,KARNATAKA,,,0,0,1,,,,,
294,Raichur,KARNATAKA,,,0,0,1,,,,,
295,Shivamogga,KARNATAKA,,,0,0,1,,,,,
296,Ramanagara,KARNATAKA,,,0,0,1,,,,,
297,Yadgir,KARNATAKA,,,0,0,1,,,,,
298,Kannur,KERALA,,,1,0,0,,,,,
299,Kottayam,KERALA,,,1,0,0,,,,,
300,Kasaragod,KERALA,,,0,1,0,,,,,
301,Idukki,KERALA,,,0,1,0,,,,,
302,Kozhikode (Calicut),KERALA,,,0,1,0,,,,,
303,Kollam,KERALA,,,0,1,0,,,,,
304,Palakkad,KERALA,,,0,1,0,,,,,
305,Pathanamthitta,KERALA,,,0,1,0,,,,,
306,Malappuram,KERALA,,,0,1,0,,,,,
307,Thiruvananthapuram (Trivandrum),KERALA,,,0,1,0,,,,,
308,Alappuzha (Alleppey),KERALA,,,0,1,0,,,,,
309,Thrissur,KERALA,,,0,1,0,,,,,
310,Ernakulam,KERALA,,,0,0,1,,,,,
311,Wayanad,KERALA,,,0,0,1,,,,,
312,Leh Ladakh,LADAKH,,,0,1,0,,,,,
313,Kargil,LADAKH,,,0,1,0,,,,,
314,Lakshadweep District,LAKSHADWEEP,,,0,0,1,,,,,
