sr no. ,Distric,state,latitude,longitude,red zone,orange zone,green zone,,,,,
456,Sundargarh,ODISHA,,,0,1,0,,,,,
457,Kendrapara,ODISHA,,,0,1,0,,,,,
458,Koraput,ODISHA,,,0,1,0,,,,,
459,Dhenkanal,ODISHA,,,0,1,0,,,,,
460,Kalahandi,ODISHA,,,0,1,0,,,,,
461,Cuttack,ODISHA,,,0,0,1,,,,,
462,Puri,ODISHA,,,0,0,1,,,,,
463,Anugul,ODISHA,,,0,0,1,,,,,
464,Balangir,ODISHA,,,0,0,1,,,,,
465,Bargarh,ODISHA,,,0,0,1,,,,,
466,Boudh,ODISHA,,,0,0,1,,,,,
467,Deogarh,ODISHA,,,0,0,1,,,,,
468,Gajapati,ODISHA,,,0,0,1,,,,,
469,Ganjam,ODISHA,,,0,0,1,,,,,
470,Jagatsinghpur,ODISHA,,,0,0,1,,,,,
471,Jharsuguda,ODISHA,,,0,0,1,,,,,
472,Kandhamal,ODISHA,,,0,0,1,,,,,
473,Kendujhar,ODISHA,,,0,0,1,,,,,
474,Malkangiri,ODISHA,,,0,0,1,,,,,
475,Mayurbhanj,ODISHA,,,0,0,1,,,,,
476,Nabarangpur,ODISHA,,,0,0,1,,,,,
477,Nayagarh,ODISHA,,,0,0,1,,,,,
478,Nuapada,ODISHA,,,0,0,1,,,,,
479,Rayagada,ODISHA,,,0,0,1,,,,,
480,Sambalpur,ODISHA,,,0,0,1,,,,,
481,Sonepur,ODISHA,,,0,0,1,,,,,
482,Pondicherry,PUDUCHERRY,,,0,1,0,,,,,
483,Karaikal,PUDUCHERRY,,,0,0,1,,,,,
484,Mahe,PUDUCHERRY,,,0,0,1,,,,,
485,Yanam,PUDUCHERRY,,,0,0,1,,,,,
486,Jalandhar,PUNJAB,,,1,0,0,,,,,
487,Patiala,PUNJAB,,,1,0,0,,,,,
488,Ludhiana,PUNJAB,,,1,0,0,,,,,
489,SAS Nagar (Mohali),PUNJAB,,,0,1,0,,,,,
490,Pathankot,PUNJAB,,,0,1,0,,,,,
491,Mansa,PUNJAB,,,0,1,0,,,,,
492,Tarn Taran,PUNJAB,,,0,1,0,,,,,
493,Amritsar,PUNJAB,,,0,1,0,,,,,
494,Kapurthala,PUNJAB,,,0,1,0,,,,,
495,Hoshiarpur,PUNJAB,,,0,1,0,,,,,
496,Faridkot,PUNJAB,,,0,1,0,,,,,
497,Sangrur,PUNJAB,,,0,1,0,,,,,
498,Shahid Bhagat Singh Nagar (Nawanshahr),PUNJAB,,,0,1,0,,,,,
499,Firozpur (Firojpur or Ferozepur),PUNJAB,,,0,1,0,,,,,
500,Sri Muktsar Sahib,PUNJAB,,,0,1,0,,,,,
501,Moga,PUNJAB,,,0,1,0,,,,,
502,Gurdaspur,PUNJAB,,,0,1,0,,,,,
503,Barnala,PUNJAB,,,0,1,0,,,,,
504,Rupnagar (Ropar),PUNJAB,,,0,0,1,,,,,
505,Fatehgarh Sahib,PUNJAB,,,0,0,1,,,,,
506,Bathinda,PUNJAB,,,0,0,1,,,,,
507,Fazilka,PUNJAB,,,0,0,1,,,,,
508,Jaipur,RAJASTHAN,,,1,0,0,,,,,
509,Jodhpur,RAJASTHAN,,,1,0,0,,,,,
510,Kota,RAJASTHAN,,,1,0,0,,,,,
511,Ajmer,RAJASTHAN,,,1,0,0,,,,,
512,Bharatpur,RAJASTHAN,,,1,0,0,,,,,
513,Nagaur,RAJASTHAN,,,1,0,0,,,,,
514,Banswara,RAJASTHAN,,,1,0,0,,,,,
515,Jhalawar,RAJASTHAN,,,1,0,0,,,,,
516,Tonk,RAJASTHAN,,,0,1,0,,,,,
517,Jaisalmer,RAJASTHAN,,,0,1,0,,,,,
518,Dausa,RAJASTHAN,,,0,1,0,,,,,
519,Jhunjhunu,RAJASTHAN,,,0,1,0,,,,,
520,Hanumangarh,RAJASTHAN,,,0,1,0,,,,,
521,Bhilwara,RAJASTHAN,,,0,1,0,,,,,
522,Sawai Madhopur,RAJASTHAN,,,0,1,0,,,,,
523,Chittorgarh,RAJASTHAN,,,0,1,0,,,,,
524,Dungarpur,RAJASTHAN,,,0,1,0,,,,,
525,Udaipur,RAJASTHAN,,,0,1,0,,,,,
526,Dholpur,RAJASTHAN,,,0,1,0,,,,,
527,Sikar,RAJASTHAN,,,0,1,0,,,,,
528,Alwar,RAJASTHAN,,,0,1,0,,,,,
529,Bikaner,RAJASTHAN,,,0,1,0,,,,,
530,Churu,RAJASTHAN,,,0,1,0,,,,,
531,Pali,RAJASTHAN,,,0,1,0,,,,,
532,Barmer,RAJASTHAN,,,0,1,0,,,,,
533,Karauli,RAJASTHAN,,,0,1,0,,,,,
534,Rajsamand,RAJASTHAN,,,0,1,0,,,,,
535,Baran,RAJASTHAN,,,0,0,1,,,,,
536,Bundi,RAJASTHAN,,,0,0,1,,,,,
537,Ganganagar,RAJASTHAN,,,0,0,1,,,,,
538,Jalore,RAJASTHAN,,,0,0,1,,,,,
539,Sirohi,RAJASTHAN,,,0,0,1,,,,,
540,Pratapgarh,RAJASTHAN,,,0,0,1,,,,,
541,North Sikkim,SIKKIM,,,0,0,1,,,,,
542,East Sikkim,SIKKIM,,,0,0,1,,,,,
543,South Sikkim,SIKKIM,,,0,0,1,,,,,
544,West Sikkim,SIKKIM,,,0,0,1,,,,,
545,Chennai,TAMIL NADU,,,1,0,0,,,,,
546,Madurai,TAMIL NADU,,,1,0,0,,,,,
547,Namakkal,TAMIL NADU,,,1,0,0,,,,,
548,Thanjavur (Tanjore),TAMIL NADU,,,1,0,0,,,,,
549,Chengalpattu,TAMIL NADU,,,1,0,0,,,,,
550,Thiruvallur (Tiruvallur),TAMIL NADU,,,1,0,0,,,,,
551,Tiruppur,TAMIL NADU,,,1,0,0,,,,,
552,Ranipet,TAMIL NADU,,,1,0,0,,,,,
553,Virudhunagar,TAMIL NADU,,,1,0,0,,,,,
554,Thiruvarur (Tiruvarur),TAMIL NADU,,,1,0,0,,,,,
555,Vellore,TAMIL NADU,,,1,0,0,,,,,
556,Kanchipuram,TAMIL NADU,,,1,0,0,,,,,
557,Theni,TAMIL NADU,,,0,1,0,,,,,
558,Tenkasi,TAMIL NADU,,,0,1,0,,,,,
559,Nagapattinam,TAMIL NADU,,,0,1,0,,,,,
560,Dindigul,TAMIL NADU,,,0,1,0,,,,,
561,Villupuram,TAMIL NADU,,,0,1,0,,,,,
562,Coimbatore,TAMIL NADU,,,0,1,0,,,,,
563,Cuddalore,TAMIL NADU,,,0,1,0,,,,,
564,Salem,TAMIL NADU,,,0,1,0,,,,,
565,Karur,TAMIL NADU,,,0,1,0,,,,,
566,Thoothukudi (Tuticorin),TAMIL NADU,,,0,1,0,,,,,
567,Tiruchirappalli (Trichy),TAMIL NADU,,,0,1,0,,,,,
568,Tirupathur,TAMIL NADU,,,0,1,0,,,,,
569,Kanyakumari,TAMIL NADU,,,0,1,0,,,,,
570,Tiruvannamalai,TAMIL NADU,,,0,1,0,,,,,
571,Ramanathapuram,TAMIL NADU,,,0,1,0,,,,,
572,Tirunelveli,TAMIL NADU,,,0,1,0,,,,,
573,The Nilgiris,TAMIL NADU,,,0,1,0,,,,,
574,Sivaganga,TAMIL NADU,,,0,1,0,,,,,
575,Perambalur,TAMIL NADU,,,0,1,0,,,,,
576,Kallakurichi,TAMIL NADU,,,0,1,0,,,,,
577,Ariyalur,TAMIL NADU,,,0,1,0,,,,,
578,Erode,TAMIL NADU,,,0,1,0,,,,,
579,Pudukkottai,TAMIL NADU,,,0,1,0,,,,,
580,Dharmapuri,TAMIL NADU,,,0,1,0,,,,,
581,Krishnagiri,TAMIL NADU,,,0,0,1,,,,,
582,Hyderabad,TELANGANA,,,1,0,0,,,,,
583,Suryapet,TELANGANA,,,1,0,0,,,,,
584,Ranga Reddy,TELANGANA,,,1,0,0,,,,,
585,Medchal Malkajgiri,TELANGANA,,,1,0,0,,,,,
586,Vikarabad,TELANGANA,,,1,0,0,,,,,
587,Warangal Urban,TELANGANA,,,1,0,0,,,,,
588,Nizamabad,TELANGANA,,,0,1,0,,,,,
589,Jogulamba Gadwal,TELANGANA,,,0,1,0,,,,,
590,Nirmal,TELANGANA,,,0,1,0,,,,,
591,Nalgonda,TELANGANA,,,0,1,0,,,,,
592,Adilabad,TELANGANA,,,0,1,0,,,,,
593,Sangareddy,TELANGANA,,,0,1,0,,,,,
594,Kamareddy,TELANGANA,,,0,1,0,,,,,
595,Komaram Bheem Asifabad,TELANGANA,,,0,1,0,,,,,
596,Karimnagar,TELANGANA,,,0,1,0,,,,,
597,Khammam,TELANGANA,,,0,1,0,,,,,
598,Mahabubnagar,TELANGANA,,,0,1,0,,,,,
599,Jagitial,TELANGANA,,,0,1,0,,,,,
600,Rajanna Sircilla,TELANGANA,,,0,1,0,,,,,
601,Jayashankar Bhupalpally,TELANGANA,,,0,1,0,,,,,
602,Medak,TELANGANA,,,0,1,0,,,,,
603,Jangoan,TELANGANA,,,0,1,0,,,,,
604,Narayanpet,TELANGANA,,,0,1,0,,,,,
605,Mancherial,TELANGANA,,,0,1,0,,,,,
606,Peddapalli,TELANGANA,,,0,0,1,,,,,
607,Nagarkurnool,TELANGANA,,,0,0,1,,,,,
608,Mulugu,TELANGANA,,,0,0,1,,,,,
609,Bhadradri Kothagudem,TELANGANA,,,0,0,1,,,,,
610,Mahabubabad,TELANGANA,,,0,0,1,,,,,
611,Siddipet,TELANGANA,,,0,0,1,,,,,
612,Warangal Rural,TELANGANA,,,0,0,1,,,,,
613,Wanaparthy,TELANGANA,,,0,0,1,,,,,
614,Yadadri Bhuvanagiri,TELANGANA,,,0,0,1,,,,,
615,North Tripura,TRIPURA,,,0,1,0,,,,,
616,Gomati,TRIPURA,,,0,1,0,,,,,
617,Dhalai,TRIPURA,,,0,0,1,,,,,
618,South Tripura,TRIPURA,,,0,0,1,,,,,
619,West Tripura,TRIPURA,,,0,0,1,,,,,
620,Khowai,TRIPURA,,,0,0,1,,,,,
621,Sepahijala,TRIPURA,,,0,0,1,,,,,
622,Unakoti,TRIPURA,,,0,0,1,,,,,
623,Agra,UTTAR PRADESH,,,1,0,0,,,,,
624,Lucknow,UTTAR PRADESH,,,1,0,0,,,,,
625,Saharanpur,UTTAR PRADESH,,,1,0,0,,,,,
626,Kanpur Nagar,UTTAR PRADESH,,,1,0,0,,,,,
627,Moradabad,UTTAR PRADESH,,,1,0,0,,,,,
628,Firozabad,UTTAR PRADESH,,,1,0,0,,,,,
629,Gautam Buddh Nagar (Noida and Greater Noida),UTTAR PRADESH,,,1,0,0,,,,,
630,Bulandshahr,UTTAR PRADESH,,,1,0,0,,,,,
631,Meerut,UTTAR PRADESH,,,1,0,0,,,,,
632,Raebareli,UTTAR PRADESH,,,1,0,0,,,,,
633,Varanasi (Banaras),UTTAR PRADESH,,,1,0,0,,,,,
634,Bijnor,UTTAR PRADESH,,,1,0,0,,,,,
635,Amroha,UTTAR PRADESH,,,1,0,0,,,,,
636,Sant Kabir Nagar,UTTAR PRADESH,,,1,0,0,,,,,
637,Aligarh,UTTAR PRADESH,,,1,0,0,,,,,
638,Muzaffarnagar,UTTAR PRADESH,,,1,0,0,,,,,
639,Rampur,UTTAR PRADESH,,,1,0,0,,,,,
640,Mathura,UTTAR PRADESH,,,1,0,0,,,,,
641,Bareilly,UTTAR PRADESH,,,1,0,0,,,,,
642,Ghaziabad,UTTAR PRADESH,,,0,1,0,,,,,
643,Hapur,UTTAR PRADESH,,,0,1,0,,,,,
644,Baghpat,UTTAR PRADESH,,,0,1,0,,,,,
645,Basti,UTTAR PRADESH,,,0,1,0,,,,,
646,Budaun,UTTAR PRADESH,,,0,1,0,,,,,
647,Sambhal,UTTAR PRADESH,,,0,1,0,,,,,
648,Auraiya,UTTAR PRADESH,,,0,1,0,,,,,
649,Shamli,UTTAR PRADESH,,,0,1,0,,,,,
650,Sitapur,UTTAR PRADESH,,,0,1,0,,,,,
651,Bahraich,UTTAR PRADESH,,,0,1,0,,,,,
652,Kannauj,UTTAR PRADESH,,,0,1,0,,,,,
653,Azamgarh,UTTAR PRADESH,,,0,1,0,,,,,
654,Mainpuri,UTTAR PRADESH,,,0,1,0,,,,,
655,Shravasti,UTTAR PRADESH,,,0,1,0,,,,,
656,Banda,UTTAR PRADESH,,,0,1,0,,,,,
657,Jaunpur,UTTAR PRADESH,,,0,1,0,,,,,
658,Etah,UTTAR PRADESH,,,0,1,0,,,,,
659,Kasganj,UTTAR PRADESH,,,0,1,0,,,,,
660,Sultanpur,UTTAR PRADESH,,,0,1,0,,,,,
661,Prayagraj (Allahabad),UTTAR PRADESH,,,0,1,0,,,,,
662,Jalaun,UTTAR PRADESH,,,0,1,0,,,,,
663,Mirzapur,UTTAR PRADESH,,,0,1,0,,,,,
664,Etawah,UTTAR PRADESH,,,0,1,0,,,,,
665,Pratapgarh,UTTAR PRADESH,,,0,1,0,,,,,
666,Ghazipur,UTTAR PRADESH,,,0,1,0,,,,,
667,Gonda,UTTAR PRADESH,,,0,1,0,,,,,
668,Mau,UTTAR PRADESH,,,0,1,0,,,,,
669,Bhadohi,UTTAR PRADESH,,,0,1,0,,,,,
670,Unnao,UTTAR PRADESH,,,0,1,0,,,,,
671,Pilibhit,UTTAR PRADESH,,,0,1,0,,,,,
672,Balrampur,UTTAR PRADESH,,,0,1,0,,,,,
673,Ayodhya (Faizabad),UTTAR PRADESH,,,0,1,0,,,,,
674,Gorakhpur,UTTAR PRADESH,,,0,1,0,,,,,
675,Jhansi,UTTAR PRADESH,,,0,1,0,,,,,
676,Hardoi,UTTAR PRADESH,,,0,1,0,,,,,
677,Kaushambi,UTTAR PRADESH,,,0,1,0,,,,,
678,Barabanki,UTTAR PRADESH,,,0,0,1,,,,,
679,Kheri,UTTAR PRADESH,,,0,0,1,,,,,
680,Hathras,UTTAR PRADESH,,,0,0,1,,,,,
681,Maharajganj,UTTAR PRADESH,,,0,0,1,,,,,
682,Shahjahanpur,UTTAR PRADESH,,,0,0,1,,,,,
683,Ambedkar Nagar,UTTAR PRADESH,,,0,0,1,,,,,
684,Ballia,UTTAR PRADESH,,,0,0,1,,,,,
685,Chandauli,UTTAR PRADESH,,,0,0,1,,,,,
686,Chitrakoot,UTTAR PRADESH,,,0,0,1,,,,,
687,Deoria,UTTAR PRADESH,,,0,0,1,,,,,
688,Farrukhabad,UTTAR PRADESH,,,0,0,1,,,,,
689,Fatehpur,UTTAR PRADESH,,,0,0,1,,,,,
690,Hamirpur,UTTAR PRADESH,,,0,0,1,,,,,
691,Kanpur Dehat,UTTAR PRADESH,,,0,0,1,,,,,
692,Kushi Nagar,UTTAR PRADESH,,,0,0,1,,,,,
693,Lalitpur,UTTAR PRADESH,,,0,0,1,,,,,
694,Mahoba,UTTAR PRADESH,,,0,0,1,,,,,
695,Siddharth Nagar,UTTAR PRADESH,,,0,0,1,,,,,
696,Sonbhadra,UTTAR PRADESH,,,0,0,1,,,,,
697,Amethi,UTTAR PRADESH,,,0,0,1,,,,,
698,Haridwar,UTTARAKHAND,,,1,0,0,,,,,
699,Dehradun,UTTARAKHAND,,,0,1,0,,,,,
700,Nainital,UTTARAKHAND,,,0,1,0,,,,,
701,Udham Singh Nagar,UTTARAKHAND,,,0,0,1,,,,,
702,Almora,UTTARAKHAND,,,0,0,1,,,,,
703,Pauri Garhwal,UTTARAKHAND,,,0,0,1,,,,,
704,Bageshwar,UTTARAKHAND,,,0,0,1,,,,,
705,Chamoli,UTTARAKHAND,,,0,0,1,,,,,
706,Champawat,UTTARAKHAND,,,0,0,1,,,,,
707,Pithoragarh,UTTARAKHAND,,,0,0,1,,,,,
708,Rudraprayag,UTTARAKHAND,,,0,0,1,,,,,
709,Tehri Garhwal,UTTARAKHAND,,,0,0,1,,,,,
710,Uttarkashi,UTTARAKHAND,,,0,0,1,,,,,
711,Kolkata,WEST BENGAL,,,1,0,0,,,,,
712,Howrah,WEST BENGAL,,,1,0,0,,,,,
713,North 24 Parganas,WEST BENGAL,,,1,0,0,,,,,
714,South 24 Parganas,WEST BENGAL,,,1,0,0,,,,,
715,Paschim Medinipur (West Midnapore),WEST BENGAL,,,1,0,0,,,,,
716,Purba Medinipur (East Midnapore),WEST BENGAL,,,1,0,0,,,,,
717,Darjeeling,WEST BENGAL,,,1,0,0,,,,,
718,Jalpaiguri,WEST BENGAL,,,1,0,0,,,,,
719,Kalimpong,WEST BENGAL,,,1,0,0,,,,,
720,Malda,WEST BENGAL,,,1,0,0,,,,,
721,Hooghly,WEST BENGAL,,,0,1,0,,,,,
722,Paschim Bardhaman,WEST BENGAL,,,0,1,0,,,,,
723,Nadia,WEST BENGAL,,,0,1,0,,,,,
724,Purba Bardhaman,WEST BENGAL,,,0,1,0,,,,,
725,Murshidabad,WEST BENGAL,,,0,1,0,,,,,
726,Uttar Dinajpur,WEST BENGAL,,,0,0,1,,,,,
727,Bankura,WEST BENGAL,,,0,0,1,,,,,
728,Birbhum,WEST BENGAL,,,0,0,1,,,,,
729,Cooch Behar,WEST BENGAL,,,0,0,1,,,,,
730,Dakshin Dinajpur,WEST BENGAL,,,0,0,1,,,,,
731,Purulia,WEST BENGAL,,,0,0,1,,,,,
732,Alipurduar,WEST BENGAL,,,0,0,1,,,,,
733,Jhargram,WEST BENGAL,,,0,0,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
