sr no. ,Distric,state,latitude,longitude,zones
636,Sant Kabir Nagar,UTTAR PRADESH,,,red
637,Aligarh,UTTAR PRADESH,,,red
638,Muzaffarnagar,UTTAR PRADESH,,,red
639,Rampur,UTTAR PRADESH,,,red
640,Mathura,UTTAR PRADESH,,,red
641,Bareilly,UTTAR PRADESH,,,red
642,Ghaziabad,UTTAR PRADESH,,,orange
643,Hapur,UTTAR PRADESH,,,orange
644,Baghpat,UTTAR PRADESH,,,orange
645,Basti,UTTAR PRADESH,,,orange
646,Budaun,UTTAR PRADESH,,,orange
647,Sambhal,UTTAR PRADESH,,,orange
648,Auraiya,UTTAR PRADESH,,,orange
649,Shamli,UTTAR PRADESH,,,orange
650,Sitapur,UTTAR PRADESH,,,orange
651,Bahraich,UTTAR PRADESH,,,orange
652,Kannauj,UTTAR PRADESH,,,orange
653,Azamgarh,UTTAR PRADESH,,,orange
654,Mainpuri,UTTAR PRADESH,,,orange
655,Shravasti,UTTAR PRADESH,,,orange
656,Banda,UTTAR PRADESH,,,orange
657,Jaunpur,UTTAR PRADESH,,,orange
658,Etah,UTTAR PRADESH,,,orange
659,Kasganj,UTTAR PRADESH,,,orange
660,Sultanpur,UTTAR PRADESH,,,orange
661,Prayagraj (Allahabad),UTTAR PRADESH,,,orange
662,Jalaun,UTTAR PRADESH,,,orange
663,Mirzapur,UTTAR PRADESH,,,orange
664,Etawah,UTTAR PRADESH,,,orange
665,Pratapgarh,UTTAR PRADESH,,,orange
666,Ghazipur,UTTAR PRADESH,,,orange
667,Gonda,UTTAR PRADESH,,,orange
668,Mau,UTTAR PRADESH,,,orange
669,Bhadohi,UTTAR PRADESH,,,orange
670,Unnao,UTTAR PRADESH,,,orange
671,Pilibhit,UTTAR PRADESH,,,orange
672,Balrampur,UTTAR PRADESH,,,orange
673,Ayodhya (Faizabad),UTTAR PRADESH,,,orange
674,Gorakhpur,UTTAR PRADESH,,,orange
675,Jhansi,UTTAR PRADESH,,,orange
676,Hardoi,UTTAR PRADESH,,,orange
677,Kaushambi,UTTAR PRADESH,,,orange
678,Barabanki,UTTAR PRADESH,,,green
679,Kheri,UTTAR PRADESH,,,green
680,Hathras,UTTAR PRADESH,,,green
681,Maharajganj,UTTAR PRADESH,,,green
682,Shahjahanpur,UTTAR PRADESH,,,green
683,Ambedkar Nagar,UTTAR PRADESH,,,green
684,Ballia,UTTAR PRADESH,,,green
685,Chandauli,UTTAR PRADESH,,,green
686,Chitrakoot,UTTAR PRADESH,,,green
687,Deoria,UTTAR PRADESH,,,green
688,Farrukhabad,UTTAR PRADESH,,,green
689,Fatehpur,UTTAR PRADESH,,,green
690,Hamirpur,UTTAR PRADESH,,,green
691,Kanpur Dehat,UTTAR PRADESH,,,green
692,Kushi Nagar,UTTAR PRADESH,,,green
693,Lalitpur,UTTAR PRADESH,,,green
694,Mahoba,UTTAR PRADESH,,,green
695,Siddharth Nagar,UTTAR PRADESH,,,green
696,Sonbhadra,UTTAR PRADESH,,,green
697,Amethi,UTTAR PRADESH,,,green
698,Haridwar,UTTARAKHAND,,,red
699,Dehradun,UTTARAKHAND,,,orange
700,Nainital,UTTARAKHAND,,,orange
701,Udham Singh Nagar,UTTARAKHAND,,,green
702,Almora,UTTARAKHAND,,,green
703,Pauri Garhwal,UTTARAKHAND,,,green
704,Bageshwar,UTTARAKHAND,,,green
705,Chamoli,UTTARAKHAND,,,green
706,Champawat,UTTARAKHAND,,,green
707,Pithoragarh,UTTARAKHAND,,,green
708,Rudraprayag,UTTARAKHAND,,,green
709,Tehri Garhwal,UTTARAKHAND,,,green
710,Uttarkashi,UTTARAKHAND,,,green
711,Kolkata,WEST BENGAL,,,red
712,Howrah,WEST BENGAL,,,red
713,North 24 Parganas,WEST BENGAL,,,red
714,South 24 Parganas,WEST BENGAL,,,red
715,Paschim Medinipur (West Midnapore),WEST BENGAL,,,red
716,Purba Medinipur (East Midnapore),WEST BENGAL,,,red
717,Darjeeling,WEST BENGAL,,,red
718,Jalpaiguri,WEST BENGAL,,,red
719,Kalimpong,WEST BENGAL,,,red
720,Malda,WEST BENGAL,,,red
721,Hooghly,WEST BENGAL,,,orange
722,Paschim Bardhaman,WEST BENGAL,,,orange
723,Nadia,WEST BENGAL,,,orange
724,Purba Bardhaman,WEST BENGAL,,,orange
725,Murshidabad,WEST BENGAL,,,orange
726,Uttar Dinajpur,WEST BENGAL,,,green
727,Bankura,WEST BENGAL,,,green
728,Birbhum,WEST BENGAL,,,green
729,Cooch Behar,WEST BENGAL,,,green
730,Dakshin Dinajpur,WEST BENGAL,,,green
731,Purulia,WEST BENGAL,,,green
732,Alipurduar,WEST BENGAL,,,green
733,Jhargram,WEST BENGAL,,,green
