sr no. ,Distric,state,latitude,longitude,zones
143,Diu,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,green
144,South East Delhi,DELHI,,,red
145,Central Delhi,DELHI,,,red
146,North Delhi,DELHI,,,red
147,South Delhi,DELHI,,,red
148,North East Delhi,DELHI,,,red
149,West Delhi,DELHI,,,red
150,Shahdara,DELHI,,,red
151,East Delhi,DELHI,,,red
152,New Delhi,DELHI,,,red
153,North West Delhi,DELHI,,,red
154,South West Delhi,DELHI,,,red
155,North Goa,GOA,,,green
156,South Goa,GOA,,,green
157,Ahmedabad,GUJARAT,,,red
158,Surat,GUJARAT,,,red
159,Vadodara,GUJARAT,,,red
160,Anand,GUJARAT,,,red
161,Banaskantha,GUJARAT,,,red
162,Panchmahal,GUJARAT,,,red
163,Bhavnagar,GUJARAT,,,red
164,Gandhinagar,GUJARAT,,,red
165,Aravalli,GUJARAT,,,red
166,Rajkot,GUJARAT,,,orange
167,Bharuch,GUJARAT,,,orange
168,Botad,GUJARAT,,,orange
169,Narmada,GUJARAT,,,orange
170,Chhota Udaipur (Chhotaudepur),GUJARAT,,,orange
171,Mahisagar,GUJARAT,,,orange
172,Mehsana,GUJARAT,,,orange
173,Patan,GUJARAT,,,orange
174,Kheda,GUJARAT,,,orange
175,Valsad,GUJARAT,,,orange
176,Dohad,GUJARAT,,,orange
177,Kachchh (Kutch),GUJARAT,,,orange
178,Navsari,GUJARAT,,,orange
179,Gir Somnath,GUJARAT,,,orange
180,Dang,GUJARAT,,,orange
181,Sabarkantha,GUJARAT,,,orange
182,Tapi,GUJARAT,,,orange
183,Jamnagar,GUJARAT,,,orange
184,Surendranagar,GUJARAT,,,orange
185,Morbi,GUJARAT,,,green
186,Amreli,GUJARAT,,,green
187,Porbandar,GUJARAT,,,green
188,Junagadh,GUJARAT,,,green
189,Devbhumi Dwarka (Devbhoomi Dwarka),GUJARAT,,,green
190,Sonipat,HARYANA,,,red
191,Faridabad,HARYANA,,,red
192,Gurugram (Gurgaon),HARYANA,,,orange
193,Nuh,HARYANA,,,orange
194,Panipat,HARYANA,,,orange
195,Panchkula,HARYANA,,,orange
196,Palwal,HARYANA,,,orange
197,Rohtak,HARYANA,,,orange
198,Hisar,HARYANA,,,orange
199,Ambala,HARYANA,,,orange
200,Jhajjar,HARYANA,,,orange
201,Bhiwani,HARYANA,,,orange
202,Kaithal,HARYANA,,,orange
203,Kurukshetra,HARYANA,,,orange
204,Karnal,HARYANA,,,orange
205,Jind,HARYANA,,,orange
206,Sirsa,HARYANA,,,orange
207,Yamunanagar,HARYANA,,,orange
208,Fatehabad,HARYANA,,,orange
209,Charkhi Dadri,HARYANA,,,orange
210,Mahendragarh,HARYANA,,,green
211,Rewari,HARYANA,,,green
212,Una,HIMACHAL PRADESH,,,orange
213,Chamba,HIMACHAL PRADESH,,,orange
214,Hamirpur,HIMACHAL PRADESH,,,orange
215,Kangra,HIMACHAL PRADESH,,,orange
216,Sirmaur,HIMACHAL PRADESH,,,orange
217,Solan,HIMACHAL PRADESH,,,orange
218,Bilaspur,HIMACHAL PRADESH,,,green
219,Kinnaur,HIMACHAL PRADESH,,,green
220,Kullu,HIMACHAL PRADESH,,,green
221,Lahul and Spiti,HIMACHAL PRADESH,,,green
222,Mandi,HIMACHAL PRADESH,,,green
223,Shimla,HIMACHAL PRADESH,,,green
224,Bandipora,JAMMU AND KASHMIR,,,red
225,Shopian,JAMMU AND KASHMIR,,,red
226,Anantnag,JAMMU AND KASHMIR,,,red
227,Srinagar,JAMMU AND KASHMIR,,,red
228,Baramulla,JAMMU AND KASHMIR,,,orange
229,Kupwara,JAMMU AND KASHMIR,,,orange
230,Ganderbal,JAMMU AND KASHMIR,,,orange
231,Jammu,JAMMU AND KASHMIR,,,orange
232,Udhampur,JAMMU AND KASHMIR,,,orange
233,Kulgam,JAMMU AND KASHMIR,,,orange
234,Budgam,JAMMU AND KASHMIR,,,orange
235,Samba,JAMMU AND KASHMIR,,,orange
236,Kathua,JAMMU AND KASHMIR,,,orange
237,Rajouri,JAMMU AND KASHMIR,,,orange
238,Ramban,JAMMU AND KASHMIR,,,orange
239,Reasi,JAMMU AND KASHMIR,,,orange
240,Pulwama,JAMMU AND KASHMIR,,,green
241,Kishtwar,JAMMU AND KASHMIR,,,green
242,Doda,JAMMU AND KASHMIR,,,green
243,Poonch,JAMMU AND KASHMIR,,,green
244,Ranchi,JHARKHAND,,,red
245,Bokaro,JHARKHAND,,,orange
246,Garhwa,JHARKHAND,,,orange
247,Dhanbad,JHARKHAND,,,orange
248,Deoghar,JHARKHAND,,,orange
249,Hazaribagh,JHARKHAND,,,orange
250,Simdega,JHARKHAND,,,orange
251,Giridih,JHARKHAND,,,orange
252,Koderma,JHARKHAND,,,orange
253,Jamtara,JHARKHAND,,,orange
254,Chatra,JHARKHAND,,,green
255,Dumka,JHARKHAND,,,green
256,East Singhbum,JHARKHAND,,,green
257,Godda,JHARKHAND,,,green
258,Gumla,JHARKHAND,,,green
259,Latehar,JHARKHAND,,,green
260,Lohardaga,JHARKHAND,,,green
261,Pakur,JHARKHAND,,,green
262,Palamu,JHARKHAND,,,green
263,Sahebganj,JHARKHAND,,,green
264,Saraikela Kharsawan,JHARKHAND,,,green
265,West Singhbhum,JHARKHAND,,,green
266,Khunti,JHARKHAND,,,green
267,Ramgarh,JHARKHAND,,,green
268,Bengaluru Urban (Bangalore City),KARNATAKA,,,red
269,Mysuru (Mysore),KARNATAKA,,,red
270,Bengaluru Rural,KARNATAKA,,,red
271,Belagavi (Belgaum),KARNATAKA,,,orange
272,Vijayapura,KARNATAKA,,,orange
273,Kalaburagi (Gulbarga),KARNATAKA,,,orange
274,Bagalkote,KARNATAKA,,,orange
275,Mandya,KARNATAKA,,,orange
276,Ballari (Bellary),KARNATAKA,,,orange
277,Dharwad,KARNATAKA,,,orange
278,Dakshina Kannada (South Canara),KARNATAKA,,,orange
279,Bidar,KARNATAKA,,,orange
280,Chikkaballapura,KARNATAKA,,,orange
281,Gadag,KARNATAKA,,,orange
282,Uttara Kannada (North Canara),KARNATAKA,,,orange
283,Tumakuru,KARNATAKA,,,orange
284,Davangere,KARNATAKA,,,green
285,Udupi,KARNATAKA,,,green
286,Chamarajanagar,KARNATAKA,,,green
287,Chikkamagaluru (Chikmagalur),KARNATAKA,,,green
288,Chitradurga,KARNATAKA,,,green
289,Hassan,KARNATAKA,,,green
290,Haveri,KARNATAKA,,,green
